TeamName,Season,Strength
Borussia Dortmund,until-1994-1995,3
Borussia Dortmund,until-1995-1996,3
Borussia Dortmund,until-1996-1997,3
Borussia Dortmund,until-1997-1998,3
Borussia Dortmund,until-1998-1999,3
Borussia Dortmund,until-1999-2000,3
Borussia Dortmund,until-2000-2001,3
Borussia Dortmund,until-2001-2002,3
Borussia Dortmund,until-2002-2003,3
Borussia Dortmund,until-2003-2004,3
Borussia Dortmund,until-2004-2005,3
Borussia Dortmund,until-2005-2006,3
Borussia Dortmund,until-2006-2007,3
Borussia Dortmund,until-2007-2008,3
Borussia Dortmund,until-2008-2009,2
Borussia Dortmund,until-2009-2010,2
Borussia Dortmund,until-2010-2011,3
Borussia Dortmund,until-2011-2012,3
Borussia Dortmund,until-2012-2013,3
Borussia Dortmund,until-2013-2014,3
Borussia Dortmund,until-2014-2015,3
Borussia Dortmund,until-2015-2016,3
Karlsruher SC,until-1994-1995,2
Karlsruher SC,until-1995-1996,2
Karlsruher SC,until-1996-1997,2
Karlsruher SC,until-1997-1998,2
Karlsruher SC,until-2007-2008,2
Karlsruher SC,until-2008-2009,2
Hamburger SV,until-1994-1995,1
Hamburger SV,until-1995-1996,2
Hamburger SV,until-1996-1997,1
Hamburger SV,until-1997-1998,1
Hamburger SV,until-1998-1999,2
Hamburger SV,until-1999-2000,2
Hamburger SV,until-2000-2001,2
Hamburger SV,until-2001-2002,2
Hamburger SV,until-2002-2003,2
Hamburger SV,until-2003-2004,2
Hamburger SV,until-2004-2005,2
Hamburger SV,until-2005-2006,2
Hamburger SV,until-2006-2007,2
Hamburger SV,until-2007-2008,2
Hamburger SV,until-2008-2009,2
Hamburger SV,until-2009-2010,2
Hamburger SV,until-2010-2011,2
Hamburger SV,until-2011-2012,2
Hamburger SV,until-2012-2013,2
Hamburger SV,until-2013-2014,2
Hamburger SV,until-2014-2015,2
Hamburger SV,until-2015-2016,2
1860 München,until-1994-1995,1
1860 München,until-1995-1996,1
1860 München,until-1996-1997,2
1860 München,until-1997-1998,1
1860 München,until-1998-1999,2
1860 München,until-1999-2000,2
1860 München,until-2000-2001,2
1860 München,until-2001-2002,2
1860 München,until-2002-2003,2
1860 München,until-2003-2004,2
Uerdingen,until-1994-1995,1
Uerdingen,until-1995-1996,0
MSV Duisburg,until-1994-1995,0
MSV Duisburg,until-1996-1997,1
MSV Duisburg,until-1997-1998,2
MSV Duisburg,until-1998-1999,2
MSV Duisburg,until-1999-2000,2
MSV Duisburg,until-2005-2006,1
MSV Duisburg,until-2007-2008,0
