TeamName,Season,Strength
Blackburn Rovers,until-1994-1995,3
Blackburn Rovers,until-1995-1996,3
Blackburn Rovers,until-1996-1997,2
Blackburn Rovers,until-1997-1998,2
Blackburn Rovers,until-1998-1999,2
Blackburn Rovers,until-2001-2002,2
Blackburn Rovers,until-2002-2003,2
Blackburn Rovers,until-2003-2004,2
Blackburn Rovers,until-2004-2005,2
Blackburn Rovers,until-2005-2006,2
Blackburn Rovers,until-2006-2007,2
Blackburn Rovers,until-2007-2008,2
Blackburn Rovers,until-2008-2009,2
Blackburn Rovers,until-2009-2010,2
Blackburn Rovers,until-2010-2011,2
Blackburn Rovers,until-2011-2012,2
Manchester United,until-1994-1995,3
Manchester United,until-1995-1996,3
Manchester United,until-1996-1997,3
Manchester United,until-1997-1998,3
Manchester United,until-1998-1999,3
Manchester United,until-1999-2000,3
Manchester United,until-2000-2001,3
Manchester United,until-2001-2002,3
Manchester United,until-2002-2003,3
Manchester United,until-2003-2004,3
Manchester United,until-2004-2005,3
Manchester United,until-2005-2006,3
Manchester United,until-2006-2007,3
Manchester United,until-2007-2008,3
Manchester United,until-2008-2009,3
Manchester United,until-2009-2010,3
Manchester United,until-2010-2011,3
Manchester United,until-2011-2012,3
Manchester United,until-2012-2013,3
Manchester United,until-2013-2014,3
Manchester United,until-2014-2015,3
Manchester United,until-2015-2016,3
Nottingham Forest,until-1994-1995,3
Nottingham Forest,until-1995-1996,2
Nottingham Forest,until-1996-1997,2
Nottingham Forest,until-1998-1999,1
Liverpool,until-1994-1995,3
Liverpool,until-1995-1996,3
Liverpool,until-1996-1997,3
Liverpool,until-1997-1998,3
Liverpool,until-1998-1999,3
Liverpool,until-1999-2000,3
Liverpool,until-2000-2001,3
Liverpool,until-2001-2002,3
Liverpool,until-2002-2003,3
Liverpool,until-2003-2004,3
Liverpool,until-2004-2005,3
Liverpool,until-2005-2006,3
Liverpool,until-2006-2007,3
Liverpool,until-2007-2008,3
Liverpool,until-2008-2009,3
Liverpool,until-2009-2010,3
Liverpool,until-2010-2011,3
Liverpool,until-2011-2012,3
Liverpool,until-2012-2013,3
Liverpool,until-2013-2014,3
Liverpool,until-2014-2015,3
Liverpool,until-2015-2016,3
Leeds United,until-1994-1995,3
Leeds United,until-1995-1996,2
Leeds United,until-1996-1997,1
Leeds United,until-1997-1998,2
Leeds United,until-1998-1999,3
Leeds United,until-1999-2000,3
Leeds United,until-2000-2001,3
Leeds United,until-2001-2002,3
Leeds United,until-2002-2003,3
Leeds United,until-2003-2004,3
Newcastle United,until-1994-1995,2
Newcastle United,until-1995-1996,3
Newcastle United,until-1996-1997,3
Newcastle United,until-1997-1998,3
Newcastle United,until-1998-1999,2
Newcastle United,until-1999-2000,2
Newcastle United,until-2000-2001,1
Newcastle United,until-2001-2002,2
Newcastle United,until-2002-2003,2
Newcastle United,until-2003-2004,2
Newcastle United,until-2004-2005,2
Newcastle United,until-2005-2006,2
Newcastle United,until-2006-2007,2
Newcastle United,until-2007-2008,2
Newcastle United,until-2008-2009,1
Newcastle United,until-2010-2011,1
Newcastle United,until-2011-2012,1
Newcastle United,until-2012-2013,1
Newcastle United,until-2013-2014,1
Newcastle United,until-2014-2015,1
Newcastle United,until-2015-2016,1
Tottenham Hotspur,until-1994-1995,2
Tottenham Hotspur,until-1995-1996,2
Tottenham Hotspur,until-1996-1997,2
Tottenham Hotspur,until-1997-1998,2
Tottenham Hotspur,until-1998-1999,2
Tottenham Hotspur,until-1999-2000,2
Tottenham Hotspur,until-2000-2001,2
Tottenham Hotspur,until-2001-2002,2
Tottenham Hotspur,until-2002-2003,2
Tottenham Hotspur,until-2003-2004,2
Tottenham Hotspur,until-2004-2005,2
Tottenham Hotspur,until-2005-2006,2
Tottenham Hotspur,until-2006-2007,2
Tottenham Hotspur,until-2007-2008,2
Tottenham Hotspur,until-2008-2009,2
Tottenham Hotspur,until-2009-2010,2
Tottenham Hotspur,until-2010-2011,2
Tottenham Hotspur,until-2011-2012,2
Tottenham Hotspur,until-2012-2013,2
Tottenham Hotspur,until-2013-2014,2
Tottenham Hotspur,until-2014-2015,2
Tottenham Hotspur,until-2015-2016,2
Wimbledon,until-1994-1995,2
Wimbledon,until-1995-1996,1
Wimbledon,until-1996-1997,2
Wimbledon,until-1997-1998,1
Wimbledon,until-1998-1999,1
Wimbledon,until-1999-2000,1
Southampton,until-1994-1995,2
Southampton,until-1995-1996,1
Southampton,until-1996-1997,0
Southampton,until-1997-1998,1
Southampton,until-1998-1999,0
Southampton,until-1999-2000,0
Southampton,until-2000-2001,1
Southampton,until-2001-2002,1
Southampton,until-2002-2003,1
Southampton,until-2003-2004,1
Southampton,until-2004-2005,1
Southampton,until-2012-2013,1
Southampton,until-2013-2014,1
Southampton,until-2014-2015,1
Southampton,until-2015-2016,1
Chelsea,until-1994-1995,1
Chelsea,until-1995-1996,1
Chelsea,until-1996-1997,1
Chelsea,until-1997-1998,2
Chelsea,until-1998-1999,2
Chelsea,until-1999-2000,2
Chelsea,until-2000-2001,2
Chelsea,until-2001-2002,2
Chelsea,until-2002-2003,2
Chelsea,until-2003-2004,2
Chelsea,until-2004-2005,3
Chelsea,until-2005-2006,3
Chelsea,until-2006-2007,3
Chelsea,until-2007-2008,3
Chelsea,until-2008-2009,3
Chelsea,until-2009-2010,3
Chelsea,until-2010-2011,3
Chelsea,until-2011-2012,3
Chelsea,until-2012-2013,3
Chelsea,until-2013-2014,3
Chelsea,until-2014-2015,3
Chelsea,until-2015-2016,3
Arsenal,until-1994-1995,1
Arsenal,until-1995-1996,2
Arsenal,until-1996-1997,3
Arsenal,until-1997-1998,3
Arsenal,until-1998-1999,3
Arsenal,until-1999-2000,3
Arsenal,until-2000-2001,3
Arsenal,until-2001-2002,3
Arsenal,until-2002-2003,3
Arsenal,until-2003-2004,3
Arsenal,until-2004-2005,3
Arsenal,until-2005-2006,3
Arsenal,until-2006-2007,3
Arsenal,until-2007-2008,3
Arsenal,until-2008-2009,3
Arsenal,until-2009-2010,3
Arsenal,until-2010-2011,3
Arsenal,until-2011-2012,3
Arsenal,until-2012-2013,3
Arsenal,until-2013-2014,3
Arsenal,until-2014-2015,3
Arsenal,until-2015-2016,3
Sheffield Wedn…,until-1994-1995,1
Sheffield Wedn…,until-1995-1996,1
Sheffield Wedn…,until-1996-1997,1
Sheffield Wedn…,until-1997-1998,1
Sheffield Wedn…,until-1998-1999,1
Sheffield Wedn…,until-1999-2000,1
West Ham United,until-1994-1995,1
West Ham United,until-1995-1996,1
West Ham United,until-1996-1997,1
West Ham United,until-1997-1998,1
West Ham United,until-1998-1999,2
